Product Code,Chemical / Product Name,Manufacturer,Intended Use,Storage Location,SDS Available (Yes/No),SDS Revision Date/Issue date,External Link To SDS,Approved By,Last Review Date
S-19455,All Purpose Cleaner,ULINE,Office Cleaning,Janitorial Closet,Yes,3/28/2025,https://img.uline.com/is/content/uline/SS-19455pdf,Michael Gomez,3/13/2026
S-19451,Glass Cleaner 32oz,ULINE,Office Cleaning ,Janitorial Closet,Yes,3/31/2025,https://img.uline.com/is/content/uline/SS-19451pdf,Michael Gomez,3/13/2026
S-7290,Simple Green Orginal 1 Gallon,Sunshine Makers,Office Cleaning,Janitorial Closet,Yes,3/12/2024,https://img.uline.com/is/content/uline/SS-20941USMXpdf,Michael Gomez,3/13/2026
S-19457,Bleach Germicidal - 1 Gallon Bottle,ULINE,Office Cleaning,Janitorial Closet,Yes,3/12/2022,https://img.uline.com/is/content/uline/SS-19457pdf,Michael Gomez,3/13/2026
S-23797,Hand Sanitizer 1 Gallon,ULINE,Office Cleaning,Janitorial Closet,Yes,2/10/2021,https://img.uline.com/is/content/uline/SS-23797pdf,Michael Gomez,3/13/2026
S-24321,Toilet Bowl Cleaner 32oz,ULINE,Office Cleaning ,Janitorial Closet,Yes,12/9/2021,https://img.uline.com/is/content/uline/SS-24321pdf,Michael Gomez,3/13/2026
S-24645,Uline Disinfecting Wipes Jumbo Bucket – Citrus Scent,ULINE,Office Cleaning ,Janitorial Closet,Yes,4/30/2024,https://img.uline.com/is/content/uline/SS-24645pdf,Michael Gomez,3/13/2026
S-17080,Antibacterial Hand Soap - 1 Gallon,ULINE,Office Cleaning,Janitorial Closet,Yes,2/4/2022,https://img.uline.com/is/content/uline/SS-17080pdf,Michael Gomez,3/13/2026
S-22344,Foaming Glass Cleaner - 19 oz Can,ULINE,Office Cleaning,Janitorial Closet,Yes,3/24/2020,https://img.uline.com/is/content/uline/SS-22344pdf,Michael Gomez,3/13/2026
S-21467,Comet® Powder Cleanser - 21 oz,ULINE,Office Cleaning,Janitorial Closet,Yes,5/14/2018,https://img.uline.com/is/content/uline/SS-21467pdf,Michael Gomez,3/13/2026
S-12808ORIG,Purell® Hand Sanitizer - 12 oz,ULINE,Office Cleaning,Janitorial Closet,Yes,8/2/2020,https://img.uline.com/is/content/uline/SS-12808ORIGpdf,Michael Gomez,3/13/2026
7.85401E+11,Relton New Rapid Tap,Relton,Maintenance,Chemical Cabinet Cage,Yes,2/25/2019,https://www.acmetools.com/on/demandware.static/-/Sites-acme-sf-catalog-en/default/dwfe35c8d2/assets/catalog/product/PNT-NRT_SDS.pdf,Michael Gomez,3/13/2026
N/A,Oatey Dark Cutting Oil,Oatey,Maintenance,Chemical Cabinet Cage,Yes,2/16/2022,https://www.macombgroup.com/ASSETS/DOCUMENTS/ITEMS/EN/Oatey_30204_SDS_1.pdf,Michael Gomez,3/13/2026
SI-CIJ9090,Make Up,Squid Ink,Printer,Chemical Cabinet Cage,Yes,6/15/2020,https://marana-az.safepersonnelsds.com/document/repo/b97055eb-7aa2-4d43-94c7-5a705b768537,Michael Gomez,3/13/2026
SI-CIJ9030,Black Ink,Squid Ink,Printer,Chemical Cabinet Cage,Yes,12/5/2017,https://wcponline.wcpsolutions.com/Strategi/PDF/sds/SQI1205058DEMO.pdf,Michael Gomez,3/13/2026
79567100386,3-In-One Multi-Purpose Oil 8-oz Long-Lasting Lubricant,3-In-One,Maintenance,Chemical Cabinet Cage,Yes,2/1/2003,https://www.acmetools.com/on/demandware.static/-/Sites-acme-sf-catalog-en/default/dw5f8f5139/assets/catalog/product/ABF4F509-3C11-41D5-A61D-201A1E7D6F0A.pdf,Michael Gomez,3/13/2026
78254051130,CRC Dielectric Grease,CRC,Maintenance,Chemical Cabinet Cage,Yes,12/5/2019,https://www.crcindustries.com/media/msdsen/msds_en-1003734.pdf?utm_source=chatgpt.com,Michael Gomez,3/13/2026
49456,Dynatex Red High Strenght,Dynatex,Maintenance,Chemical Cabinet Cage,Yes,8/7/2023,https://www.1stayd.com/SDSsheets/750GEL-RED6-8723.PDF?utm_source=chatgpt.com,Michael Gomez,3/13/2026
143445,Dynatex Blue Medium Strength,Dynatex,Maintenance,Chemical Cabinet Cage,Yes,6/2/2025,https://soudalusa.com/uplimg/soudal2024/MSDS/Dynatex%20Medium%20Strength%20Threadlocker%20Gel%20Blue%20sds.pdf,Michael Gomez,3/13/2026
D5S-6,DeoxIT D5 Contact Cleaner,CAIG Laboratories,Maintenance,Chemical Cabinet Cage,Yes,1/23/2025,https://www.parts-express.com/pedocs/more-info/caig-deoxit-d-series-msds.pdf,Michael Gomez,3/13/2026
49019,WD-40 EZ-Reach Multi-Use,WD-40 Company,Maintenance,Chemical Cabinet Cage,Yes,11/13/2024,https://files.wd40.com/pdf/sds/mup/wd-40-multi-use-product-aerosol-low-voc-sds-us-ghs.pdf,Michael Gomez,3/13/2026
16-CCL,B’laster Chain and Cable Lubricant,The Blaster Corporation,Maintenance,Chemical Cabinet Cage,Yes,6/9/2022,https://blasterproducts.com/wp-content/uploads/2022/06/CCL-Chain-and-Cable-Lube-EN-OSHA-GHS-SDS-2022-06-09.pdf,Michael Gomez,3/13/2026
16-TDL,B'laster Dry Lube,The Blaster Corporation,Maintenance,Chemical Cabinet Cage,Yes,6/9/2022,https://blasterproducts.com/wp-content/uploads/2022/06/TDL-Dry-Lube-EN-OSHA-GHS-SDS-2022-06-09.pdf,Michael Gomez,3/13/2026
TF20027,Tri-Flow Superior Lubricant,Tri-Flow Industrial Group,Maintenance,Chemical Cabinet Cage,Yes,6/25/2015,https://www1.mscdirect.com/MSDS/MSDS00010/00157545-20161002.PDF,Michael Gomez,3/13/2026
120008,3-IN-ONE® All-Temp Silicone Lubricant,WD-40 Company,Maintenance,Chemical Cabinet Cage,Yes,7/18/2018,https://files.wd40.com/pdf/sds/3inone/3-in-one-all-temp-silicone-drip-oil.pdf?utm_source=chatgpt.com,Michael Gomez,3/13/2026
MB175-4,Markem-Imaje MB175 Ink,Markem‑Imaje,Printer,Chemical Cabinet Cage,Yes,12/16/2025,https://sojoindustries0.sharepoint.com/sites/SojoSharedDocuments/Shared%2520Documents/Redlands%2520Operations/file:///C:/Users/MichaelGomez/Downloads/MB175-4_04DEC2025_B_EN.pdf,Michael Gomez,3/13/2026
A188-4,Markem-Imaje Make-Up Solvent,Markem‑Imaje,Printer,Chemical Cabinet Cage,Yes,12/16/2025,https://sojoindustries0.sharepoint.com/sites/SojoSharedDocuments/Shared%2520Documents/Redlands%2520Operations/file:///C:/Users/MichaelGomez/Downloads/A188-4_16DEC2025_B_EN.pdf,Michael Gomez,3/13/2026
VM04,Venom Pipe Thread Sealant,Federal Process Corp.,Maintenance,Chemical Cabinet Cage,Yes,8/23/2017,https://assets.unilogcorp.com/267/ITEM/DOC/FEDPRO_VM04_SDS.pdf,Michael Gomez,3/13/2026
76000,Blue Monster™ PTFE Pipe Thread Sealant,The Mill-Rose Company,Maintenance,Chemical Cabinet Cage,Yes,7/31/2024,https://cleanfit.com/downloads/msds/Thread_Compound_with_PTFE_Blue_Monster_SDS.pdf,Michael Gomez,3/13/2026
235028,Loctite LB 771 Nickel Anti-Seize,Henkel,Maintenance,Chemical Cabinet Cage,Yes,1/19/2011,https://www.farnell.com/datasheets/1799531.pdf,Michael Gomez,3/13/2026
37031,Forney Nozzle Gel,Forney Industries,Maintenance,Chemical Cabinet Cage,Yes,4/1/2014,https://assets.unilogcorp.com/187/ITEM/DOC/Forney_100086627_SDS.pdf,Michael Gomez,3/13/2026
2013100352,QuinSyn-Plus Synthetic Compressor Fluid,Quincy Compressor,Maintenance,Chemical Cabinet Cage,Yes,3/26/2019,https://www.compressorworld.com/assets/QUINSYNPLUSSDS-US-EN.pdf,Michael Gomez,3/13/2026
SHC 634,Mobil SHC™ 634,ExxonMobil,Maintenance,Chemical Cabinet Cage,Yes,3/16/2015,https://petroleumservicecompany.com/content/pdfs/MOBIL_SHC_634_SDS.pdf,Michael Gomez,3/13/2026
2015A0208050,Mobilux EP 2,ExxonMobil,Maintenance,Chemical Cabinet Cage,Yes,10/23/2019,https://petroleumservicecompany.com/content/pdfs/MOBILUX_EP_2_SDS.pdf,Michael Gomez,3/13/2026
LU700,Sprayon LU700 Food Grade Machinery Oil,Krylon Industrial,Maintenance,Chemical Cabinet Cage,Yes,5/29/2015,https://www.grainger.com/sds/pdf/220785.pdf,Michael Gomez,3/13/2026
3065,CRC Food Grade Belt Dressing,CRC Industries,Maintenance,Chemical Cabinet Cage,Yes,8/15/2023,https://www.crcindustries.com/media/msdsen/msds_en-1003326.pdf,Michael Gomez,3/13/2026
113276,Haynes Lubri-Film Plus,Haynes Manufacturing,Maintenance,Chemical Cabinet Cage,Yes,7/18/2023,https://www.urschel.com/wp-content/uploads/2024/03/11045-11073-11079-safety-data-sheet-haynes-lubri-film-english.pdf,Michael Gomez,3/13/2026
L0740-057,Lubriplate FMO-85 Machine Oil,Lubriplate Lubricants,Maintenance,Chemical Cabinet Cage,Yes,7/18/2011,https://www1.mscdirect.com/MSDS/MSDS00008/00424564-20230617.PDF,Michael Gomez,3/13/2026
LOW2024,Moxie Glass / Window Cleaner,MOXIE cleaning products,Office Cleaning,Janitorial Closet,,8/24/2006,https://www.cms-clean.com/wp-content/uploads/2011/11/MOXIE-MSDS-Sheets.pdf,Michael Gomez,3/13/2026
